channel,super_user,current_owner,assembled_by,status,start_date,duration,cathode,anode,separator,data_filename,added_water_b,comments
1-1,,,,Available,,,,,,,,
1-2,,,,Available,,,,,,,,
1-3,,,,Available,,,,,,,,
1-4,,,,Available,,,,,,,,
1-5,,,,Available,,,,,,,,
1-6,,,,Available,,,,,,,,
1-7,,,,Available,,,,,,,,
1-8,,,,Available,,,,,,,,
2-1,,,,Available,,,,,,,,
2-2,,,,Available,,,,,,,,
2-3,,,,Available,,,,,,,,
2-4,,,,Available,,,,,,,,
2-5,,,,Available,,,,,,,,
2-6,,,,Available,,,,,,,,
2-7,,,,Available,,,,,,,,
2-8,,,,Available,,,,,,,,
3-1,,,,Available,,,,,,,,
3-2,,,,Available,,,,,,,,
3-3,,,,Available,,,,,,,,
3-4,,,,Available,,,,,,,,
3-5,,,,Available,,,,,,,,
3-6,,,,Available,,,,,,,,
3-7,,,,Available,,,,,,,,
3-8,,,,Available,,,,,,,,
4-1,,,,Available,,,,,,,,
4-2,,,,Available,,,,,,,,
4-3,,,,Available,,,,,,,,
4-4,,,,Available,,,,,,,,
4-5,,,,Available,,,,,,,,
4-6,,,,Available,,,,,,,,
5-1,,,,Available,,,,,,,,
5-3,,,,Available,,,,,,,,
5-4,,,,Available,,,,,,,,
5-5,,,,Available,,,,,,,,
5-7,,,,Available,,,,,,,,
5-8,,,,Available,,,,,,,,
6-1,,,,Available,,,,,,,,
6-2,,,,Available,,,,,,,,
6-3,,,,Available,,,,,,,,
6-4,,,,Available,,,,,,,,
6-5,,,,Available,,,,,,,,
6-6,,,,Available,,,,,,,,
6-7,,,,Available,,,,,,,,
6-8,,,,Available,,,,,,,,
7-1,,,,Available,,,,,,,,
7-2,,,,Available,,,,,,,,
7-3,,,,Available,,,,,,,,
7-4,,,,Available,,,,,,,,
7-5,,,,Available,,,,,,,,
7-6,,,,Available,,,,,,,,
7-7,,,,Available,,,,,,,,
7-8,,,,Available,,,,,,,,
8-1,,,,Available,,,,,,,,
8-2,,,,Available,,,,,,,,
8-3,,,,Available,,,,,,,,
8-4,,,,Available,,,,,,,,
8-5,,,,Available,,,,,,,,
8-6,,,,Available,,,,,,,,
8-7,,,,Available,,,,,,,,
8-8,,,,Available,,,,,,,,
